(index -> (radius,density,mass within (shells),gravitational acceleration (shells),density slope,mass within (linear),gravitational acceleration (linear)
"radius[unit=""m""]","density[unit=""kg/m^3""]",mass[unit=”kg”],acceleration[unit=”m/s^2”],slope[unit=””],mass[unit=”kg”],acceleration[unit=”m/s^2”]
565747,13018.81,9.89681209482932E+021,-2.06374735148793,-0.000243428215896797,9.89590213692108E+021,-2.06355760117185
578605,13015.6,1.05855153329158E+022,-2.11034453808891,-0.00024965002333171,1.05845198335229E+022,-2.1101460738063
591463,13012.33,1.13053407424369E+022,-2.15692088985026,-0.000254316378908107,1.13042541572426E+022,-2.15671358267062
604321,13008.98,1.20569646346395E+022,-2.20347607027255,-0.000260538186343161,1.20557806038208E+022,-2.20325968218032
617179,13005.56,1.28410611488119E+022,-2.25000952630196,-0.000265982267848816,1.2839773327079E+022,-2.2497838742991
630037,13002.07,1.36583039130305E+022,-2.29652081411716,-0.000271426349354471,1.36569056854672E+022,-2.29628571474301
642895,12998.5,1.45093654686727E+022,-2.34300948899439,-0.000277648156789525,1.45078496156436E+022,-2.34276470516571
655753,12994.87,1.53949165667057E+022,-2.38947499967107,-0.00028231451236578,1.53932762466954E+022,-2.38922040240585
668611,12991.16,1.63156281618149E+022,-2.43591700964925,-0.000288536319800976,1.63138555608165E+022,-2.43565236100192
681468,12987.38,1.72720928498166E+022,-2.48233135529292,-0.000294003266703014,1.72701802155424E+022,-2.48205647302641
694326,12983.53,1.82651272846386E+022,-2.52872481289343,-0.000299424482812144,1.82630665449521E+022,-2.52843951274211
707184,12979.6,1.9295325198797E+022,-2.57509332834347,-0.00030564629024734,1.92931075896045E+022,-2.57479737320523
720042,12975.61,2.03633512590753E+022,-2.62143635028893,-0.000310312645823595,2.03609685054391E+022,-2.62112961114191
732900,12971.54,2.14698705026611E+022,-2.66775354222935,-0.000316534453258649,2.1467313186813E+022,-2.66743578118783
745758,12967.4,2.26155450222401E+022,-2.71404435125625,-0.000321978534764445,2.26128038196589E+022,-2.71371538525636
758616,12963.19,2.38010364414899E+022,-2.76030833344894,-0.000327422616269959,2.37981017013955E+022,-2.75996797904636
771474,12958.91,2.50270050697909E+022,-2.80654504414166,-0.000332866697775755,2.50238668095351E+022,-2.80619311754304
784332,12954.55,2.62941098797876E+022,-2.85275403799624,-0.000339088505210809,2.62907572876569E+022,-2.85239030175332
